Tijd stroom: 22.11.24-22:00:00, Tarief: 2, Actueel stroomverbruik: 0.408000, Actuele spanning: 232.300003, Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6710.858887, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Tijd gas: 22.11.24-21:55:04, Totaal gasverbruik: 6225.627930
Tijd stroom: 22.11.24-22:01:00, Tarief: 2, Actueel stroomverbruik: 2.328000, Actuele spanning: 229.699997, Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6710.875000, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Tijd gas: 22.11.24-21:55:04, Totaal gasverbruik: 6225.627930
Tijd stroom: 22.11.24-22:02:00, Tarief: 2, Actueel stroomverbruik: 2.307000, Actuele spanning: 229.300003, Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6710.914062, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Tijd gas: 22.11.24-22:01:26, Totaal gasverbruik: 6225.627930
Tijd stroom: 22.11.24-22:03:00, Tarief: 2, Actueel stroomverbruik: 2.349000, Actuele spanning: 229.199997, Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6710.953125, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Tijd gas: 22.11.24-22:01:26, Totaal gasverbruik: 6225.627930
Tijd stroom: 22.11.24-22:04:00, Tarief: 2, Actueel stroomverbruik: 2.419000, Actuele spanning: 231.100006, Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6710.993164, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Tijd gas: 22.11.24-22:01:26, Totaal gasverbruik: 6225.627930
Tijd stroom: 22.11.24-22:05:00, Tarief: 2, Actueel stroomverbruik: 2.441000, Actuele spanning: 231.500000, Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.033203, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Tijd gas: 22.11.24-22:01:26, Totaal gasverbruik: 6225.627930
Tijd stroom: 22.11.24-22:06:00, Tarief: 2, Actueel stroomverbruik: 2.444000, Actuele spanning: 231.600006, Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.073242, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Tijd gas: 22.11.24-22:05:04, Totaal gasverbruik: 6225.667969
Tijd stroom: 22.11.24-22:07:00, Tarief: 2, Actueel stroomverbruik: 2.492000, Actuele spanning: 231.800003, Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.113770, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Tijd gas: 22.11.24-22:05:04, Totaal gasverbruik: 6225.667969
Tijd stroom: 22.11.24-22:08:00, Tarief: 2, Actueel stroomverbruik: 2.488000, Actuele spanning: 231.600006, Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.155762, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Tijd gas: 22.11.24-22:05:04, Totaal gasverbruik: 6225.667969
Tijd stroom: 22.11.24-22:09:00, Tarief: 2, Actueel stroomverbruik: 2.483000, Actuele spanning: 232.000000, Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.196777, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Tijd gas: 22.11.24-22:05:04, Totaal gasverbruik: 6225.667969
Tijd stroom: 22.11.24-22:10:00, Tarief: 2, Actueel stroomverbruik: 2.461000, Actuele spanning: 231.699997, Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.237793, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Tijd gas: 22.11.24-22:09:58, Totaal gasverbruik: 6225.855957
